UID,Age,RenovAge,Distance,IsRenovated,AgeSq,InteractionAgeDistance,LogInteraction,SubType,AdCreationAge,AskingPricePerSqm,SquareMeters,LandplotSize,NoView,ViewForest,ViewMountain,ViewSea,ViewUnlimited,NoFacade,FacadeCorner,FacadeFrontage,FacadeInterior,FacadeThrough,HeatType,HeatFrom,EnergyPerformance,WC,AC,Elevator,Parking,StorageRoom,AluminumFrames,Bedrooms,Pool,Garden,FloorLevel,FloorCount,GeoLat,GeoLon,ZoneValue,MarketabillityFactor,AskingPrice,AdminName
property_01KP5VCB917C2QWTVBYDVQS83Q,2,2,0,0,4,0,0,apartment,18,20.93877551020408,98,98,0,0,0,0,0,0,0,0,1,0,autonomous_central,natural_gas,Α+,2,0,0,1,0,0,3,0,0,3,1,38.0488024,23.804678,2000,1,0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών
property_01KP5TNRRS8M05J02NPYDTJWCA,2,1,1,1,4,2,1.0986122886681096,maisonette,5,16.176470588235293,340,340,0,0,0,0,0,0,0,0,0,0,no_heating,,Α,3,1,0,1,1,1,4,0,1,0,1,38.0493506,23.7922122,2050,1,0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών
property_01KR3WZ007WNF7TBE1M7Z3ZJ16,2,2,0,0,4,0,0,apartment,0,18.095238095238095,105,105,0,0,0,0,0,0,1,1,0,1,autonomous_central,,Α+,2,1,0,1,1,1,3,0,0,3,1,38.0554503,23.8003294,2100,1,0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών
property_01KP5VBR99JGQYVTRAVX906MW0,2,2,0,0,4,0,0,apartment,1,17.254901960784313,102,102,0,0,0,0,0,0,0,0,0,0,autonomous_individual,electricity,Α+,2,0,0,1,0,0,3,0,0,4,1,38.0556148,23.7863494,2150,1,0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών
property_01KP5VVFB435GT3PNN69ZQ7BTS,2,2,0,0,4,0,0,maisonette,25,46.666666666666664,75,2000,0,0,1,1,0,0,0,0,0,1,autonomous_individual,electricity,Α+,1,1,0,1,0,1,2,1,1,0,1,38.0719919,23.1616008,1100,1,0,Περιφερειακή Ενότητα Δυτικής Αττικής
property_01KP5V6NDPS4SC7CWMM8GNSSSE,2,2,0,0,4,0,0,apartment,14,14.666666666666666,150,150,0,0,0,0,0,0,0,1,0,1,autonomous_individual,,Α+,2,1,0,1,1,0,3,0,1,0,1,38.099615,23.7898256,1500,1,0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών
property_01KP5V0527TEB726CHPM0G2HBV,2,2,0,0,4,0,0,maisonette,1,23.62204724409449,127,127,0,0,0,0,0,0,0,0,0,0,autonomous_individual,electricity,Α+,2,1,0,1,0,0,3,0,0,1,1,38.1531243,24.0051656,950,1,0,Περιφερειακή Ενότητα Ανατολικής Αττικής
property_01KP5VGFSTRFP54E29E62K52HW,2,2,0,0,4,0,0,detached_house,5,11,100,200,0,1,1,0,0,0,1,1,0,1,,,Β+,2,1,0,1,0,1,2,0,0,0,1,38.29193290000001,21.7682908,1450,1,0,Περιφερειακή Ενότητα Αχαΐας
property_01KP5TQM8GYRMS1RBWB3TE19ZF,2,2,0,0,4,0,0,maisonette,8,130.718954248366,153,153,0,0,0,0,0,0,0,1,0,0,autonomous_individual,,Α,2,0,0,1,1,0,4,0,1,0,1,38.5247393,22.5514686,1100,1,0,Περιφερειακή Ενότητα Βοιωτίας
property_01KP5TY3F59G7QYJ15R1HA9025,2,2,0,0,4,0,0,maisonette,9,77.14285714285714,140,1000,0,0,1,0,0,0,0,1,0,1,autonomous_central,,Α,3,0,0,0,0,0,3,0,0,0,1,38.5405373,22.5304227,1100,1,0,Περιφερειακή Ενότητα Βοιωτίας
property_01KR3VH9TC8YQEGHKQ7HQY6YV5,2,2,0,0,4,0,0,maisonette,1,5.75,200,200,0,0,0,0,0,0,0,0,0,1,autonomous_individual,oil,Β+,1,0,0,0,1,1,3,0,1,0,1,39.61628,20.88668,750,1,0,Περιφερειακή Ενότητα Ιωαννίνων
property_01KP5V8XF5PB6Z9WB1W0F6298F,2,2,0,0,4,0,0,maisonette,5,10,120,120,0,0,0,0,0,0,0,0,0,0,autonomous_individual,electricity,Α+,1,0,0,0,0,1,2,0,0,0,1,39.6308291,20.8664284,1100,1,0,Περιφερειακή Ενότητα Ιωαννίνων
property_01KP5V9ET5BW475DMJCZEXBGHM,2,2,0,0,4,0,0,maisonette,18,17.647058823529413,85,85,0,0,0,0,0,0,1,1,0,1,autonomous_individual,electricity,Α,1,0,0,0,0,1,1,0,0,1,1,39.6328213,20.8689094,1100,1,0,Περιφερειακή Ενότητα Ιωαννίνων
property_01KP5W3K7RQYD2Q71G65J55RE5,2,2,0,0,4,0,0,detached_house,4,30,70,5000,0,0,1,0,0,0,0,0,0,1,autonomous_individual,electricity,Α+,1,1,0,1,0,1,2,1,1,0,1,39.687228,20.790822,850,1,0,Περιφερειακή Ενότητα Ιωαννίνων
property_01KP5V052AMHDX1K7G6872GC0J,2,2,0,0,4,0,0,apartment,5,10.833333333333334,120,120,0,0,0,0,0,0,0,1,0,0,autonomous_central,,Α+,2,1,0,1,1,0,3,0,0,1,1,40.5464346,23.0151927,1150,1,0,Μητροπολιτική Ενότητα Θεσσαλονίκης
property_01KP5V5ZA0RYDJ0N9YC0YQ2K90,2,2,0,0,4,0,0,apartment,7,8.8,125,125,0,0,0,0,0,0,0,0,0,1,autonomous_individual,natural_gas,Α+,1,1,0,1,1,1,3,0,0,1,1,40.5697827,22.9580241,1550,1,0,Μητροπολιτική Ενότητα Θεσσαλονίκης
property_01KP5V5Z9SGFRW5GTVRRAPY1AM,2,2,0,0,4,0,0,apartment,6,8.8,125,125,0,0,0,0,0,0,0,0,0,1,autonomous_individual,natural_gas,Α+,1,1,0,1,1,1,3,0,0,1,1,40.5697827,22.9580241,1550,1,0,Μητροπολιτική Ενότητα Θεσσαλονίκης
property_01KP5V0526JNNJT8PFYAFYQED5,2,2,0,0,4,0,0,maisonette,6,9.183673469387756,147,147,0,0,0,0,0,0,0,0,0,0,autonomous_central,natural_gas,Α+,2,0,0,0,1,1,3,0,0,7,1,40.6739027,22.9093308,900,1,0,Μητροπολιτική Ενότητα Θεσσαλονίκης
property_01KP5VB61KAQGFYEE3YTV17B76,1,1,0,0,1,0,0,apartment,6,16.304347826086957,92,92,0,0,0,0,0,0,1,0,0,0,autonomous_central,,Α,1,0,0,0,1,1,3,0,0,1,1,35.3055854,25.1458404,1100,1,0,Περιφερειακή Ενότητα Ηρακλείου
